RMS CDW ID,General Offense Number,Offense Code,Offense Code Extension,Offense Type,Summary Offense Code,Summarized Offense Description,Date Reported,Occurred Date or Date Range Start,Occurred Date Range End,Hundred Block Location,District/Sector,Zone/Beat,Census Tract 2000,Longitude,Latitude,Location,Month,Year
887899,201375386,2605,0,FRAUD-CREDIT CARD,2600,FRAUD,03/05/2013 03:05:00 PM,06/01/2012 12:00:00 PM,06/30/2012 12:00:00 PM,7XX BLOCK OF NW 90 ST,J,J1,1702.3009,-122.365348816,47.694255829,"(47.694255829, -122.365348816)",3,2013
887900,201375191,2204,0,BURGLARY-NOFORCE-RES,2200,BURGLARY,03/05/2013 10:01:00 AM,03/04/2013 07:00:00 PM,03/04/2013 10:30:00 PM,5XX BLOCK OF 3 AV,K,K2,8100.2043,-122.331085205,47.602413177,"(47.602413177, -122.331085205)",3,2013
1032504,2016290154,3510,0,NARC-SELL-HEROIN,3500,NARCOTICS,08/11/2016 08:43:00 PM,08/11/2016 08:43:00 PM,,41XX BLOCK OF 12 AV NE,U,U2,5301.4002,-122.315536499,47.657604218,"(47.657604218, -122.315536499)",8,2016
1032505,2016294550,2203,0,BURGLARY-FORCE-NONRES,2200,BURGLARY,08/15/2016 04:58:00 AM,08/15/2016 12:30:00 AM,08/15/2016 04:28:00 AM,29XX BLOCK OF EASTLAKE AV E,D,D3,6100.3017,-122.32396698,47.648097992,"(47.648097992, -122.32396698)",8,2016
1032506,2016294569,2205,0,BURGLARY-NOFORCE-NONRES,2200,BURGLARY,08/15/2016 07:57:00 AM,08/15/2016 06:01:00 AM,,17XX BLOCK OF S JACKSON ST,G,G3,9000.2019,-122.309623718,47.599235535,"(47.599235535, -122.309623718)",8,2016
1032507,2016312694,1203,3,ROBBERY-BUSINESS-BODYFORCE,1200,ROBBERY,08/29/2016 09:54:00 AM,08/29/2016 09:54:00 AM,,6XX BLOCK OF 5 AV S,K,K3,9100.2009,-122.327682495,47.596656799,"(47.596656799, -122.327682495)",8,2016
1032508,2016316973,1306,0,ASSLT-AGG-BODYFORCE,1300,ASSAULT,09/01/2016 02:07:00 PM,09/01/2016 02:07:00 PM,,NW LEARY WY / 15 AV NW,B,B1,4700.2037,-122.376319885,47.663661957,"(47.663661957, -122.376319885)",9,2016
887901,201375398,2903,0,PROPERTY DAMAGE-NON RESIDENTIA,2900,PROPERTY DAMAGE,03/05/2013 04:16:00 PM,03/01/2013 09:00:00 AM,03/02/2013 04:30:00 PM,16XX BLOCK OF 22 AV E,C,C2,6200.3015,-122.303817749,47.63394928,"(47.63394928, -122.303817749)",3,2013
887902,201376093,5015,2,WARRARR-MISDEMEANOR,5000,WARRANT ARREST,03/06/2013 01:16:00 AM,03/06/2013 12:43:00 AM,,BEACON AV S / S COLUMBIAN WY,R,R1,10402.2000,-122.304656982,47.559604645,"(47.559604645, -122.304656982)",3,2013
887903,201376420,2399,3,THEFT-OTH,2300,OTHER PROPERTY,03/06/2013 09:00:00 AM,03/06/2013 09:00:00 AM,,127XX BLOCK OF 28 AV NE,L,L1,200.2012,-122.297729492,47.721805573,"(47.721805573, -122.297729492)",3,2013
